FID,Field1,longitude,latitude
90,626,17.379999999999999,-30.120000000000001
91,510,17.620000000000001,-30.870000000000001
92,649,29.620000000000001,-31.379999999999999
93,671,18.120000000000001,-31.620000000000001
94,679,18.379999999999999,-31.620000000000001
95,681,18.620000000000001,-31.620000000000001
96,668,29.379999999999999,-31.620000000000001
97,38,18.180000000000000,-31.690000000000001
98,672,18.379999999999999,-31.879999999999999
99,641,18.620000000000001,-31.879999999999999
100,434,18.289999999999999,-32.039999999999999
101,485,18.309999999999999,-32.070000000000000
102,39,18.300000000000001,-32.090000000000003
103,725,18.309999999999999,-32.090000000000003
104,141,18.300000000000001,-32.100000000000001
105,579,18.309999999999999,-32.100000000000001
106,581,18.320000000000000,-32.100000000000001
107,55,18.289999999999999,-32.119999999999997
108,647,18.379999999999999,-32.119999999999997
109,663,28.879999999999999,-32.119999999999997
110,53,17.250000000000000,-32.170000000000002
111,253,18.280000000000001,-32.259999999999998
112,101,18.289999999999999,-32.289999999999999
113,674,18.379999999999999,-32.380000000000003
114,692,18.620000000000001,-32.380000000000003
115,192,17.899999999999999,-32.390000000000001
116,536,28.620000000000001,-32.460000000000001
117,514,17.910000000000000,-32.539999999999999
118,175,18.300000000000001,-32.590000000000003
119,620,18.300000000000001,-32.609999999999999
120,666,17.879999999999999,-32.619999999999997
121,43,18.289999999999999,-32.619999999999997
122,688,18.379999999999999,-32.619999999999997
123,1,17.969999999999999,-32.700000000000003
124,108,17.980000000000000,-32.700000000000003
125,394,28.359999999999999,-32.700000000000003
126,220,17.870000000000001,-32.710000000000001
127,56,17.960000000000001,-32.710000000000001
128,10,17.969999999999999,-32.710000000000001
129,197,17.980000000000000,-32.710000000000001
130,448,18.039999999999999,-32.710000000000001
131,127,17.940000000000001,-32.719999999999999
132,751,17.930000000000000,-32.729999999999997
133,103,17.899999999999999,-32.759999999999998
134,210,18.020000000000000,-32.759999999999998
135,245,28.250000000000000,-32.759999999999998
136,282,28.250000000000000,-32.770000000000003
137,214,17.870000000000001,-32.789999999999999
138,109,18.039999999999999,-32.789999999999999
139,486,18.120000000000001,-32.789999999999999
140,749,17.890000000000001,-32.810000000000002
141,372,17.899999999999999,-32.810000000000002
142,529,17.870000000000001,-32.869999999999997
143,653,18.120000000000001,-32.880000000000003
144,84,17.750000000000000,-32.909999999999997
145,316,27.960000000000001,-32.960000000000001
146,234,28.039999999999999,-32.960000000000001
147,736,18.000000000000000,-33.000000000000000
148,720,17.960000000000001,-33.030000000000001
149,497,17.870000000000001,-33.039999999999999
150,20,17.960000000000001,-33.039999999999999
151,713,17.969999999999999,-33.039999999999999
152,338,18.039999999999999,-33.039999999999999
153,467,27.870000000000001,-33.039999999999999
154,186,17.930000000000000,-33.049999999999997
155,594,18.039999999999999,-33.049999999999997
156,337,18.050000000000001,-33.070000000000000
157,744,17.949999999999999,-33.079999999999998
158,129,17.960000000000001,-33.079999999999998
159,616,17.989999999999998,-33.109999999999999
160,15,17.960000000000001,-33.119999999999997
161,750,17.989999999999998,-33.119999999999997
162,111,18.039999999999999,-33.119999999999997
163,643,18.120000000000001,-33.119999999999997
164,19,27.710000000000001,-33.119999999999997
165,336,17.969999999999999,-33.130000000000003
166,528,18.059999999999999,-33.130000000000003
167,495,17.980000000000000,-33.140000000000001
168,537,17.989999999999998,-33.149999999999999
169,456,18.000000000000000,-33.149999999999999
170,272,18.120000000000001,-33.180000000000000
171,315,18.039999999999999,-33.210000000000001
172,597,18.100000000000001,-33.210000000000001
173,224,18.120000000000001,-33.210000000000001
174,753,18.050000000000001,-33.250000000000000
175,470,17.820000000000000,-33.259999999999998
176,243,18.120000000000001,-33.289999999999999
177,382,18.160000000000000,-33.340000000000003
178,328,18.120000000000001,-33.369999999999997
179,181,18.160000000000000,-33.369999999999997
180,418,18.210000000000001,-33.369999999999997
181,627,18.120000000000001,-33.380000000000003
182,693,18.379999999999999,-33.380000000000003
183,705,18.620000000000001,-33.380000000000003
184,370,17.870000000000001,-33.399999999999999
185,723,18.070000000000000,-33.409999999999997
186,154,18.079999999999998,-33.420000000000002
187,23,18.090000000000000,-33.420000000000002
188,729,18.079999999999998,-33.430000000000000
189,724,18.100000000000001,-33.430000000000000
190,445,18.210000000000001,-33.460000000000001
191,550,18.289999999999999,-33.460000000000001
192,319,18.309999999999999,-33.509999999999998
193,112,27.039999999999999,-33.539999999999999
194,329,27.120000000000001,-33.539999999999999
195,135,27.039999999999999,-33.549999999999997
196,591,26.890000000000001,-33.590000000000003
197,327,26.940000000000001,-33.590000000000003
198,158,27.000000000000000,-33.590000000000003
199,629,18.379999999999999,-33.619999999999997
200,698,18.620000000000001,-33.619999999999997
201,661,18.879999999999999,-33.619999999999997
202,334,26.879999999999999,-33.619999999999997
203,595,18.440000000000001,-33.659999999999997
204,752,18.420000000000002,-33.670000000000002
205,343,26.699999999999999,-33.670000000000002
206,275,26.199999999999999,-33.700000000000003
207,567,18.460000000000001,-33.710000000000001
208,131,25.960000000000001,-33.710000000000001
209,213,26.039999999999999,-33.710000000000001
210,212,26.120000000000001,-33.710000000000001
211,130,26.210000000000001,-33.710000000000001
212,216,26.539999999999999,-33.710000000000001
213,427,26.710000000000001,-33.710000000000001
214,28,18.440000000000001,-33.719999999999999
215,332,26.609999999999999,-33.719999999999999
216,342,26.629999999999999,-33.719999999999999
217,89,18.879999999999999,-33.729999999999997
218,344,26.579999999999998,-33.729999999999997
219,22,26.590000000000000,-33.729999999999997
220,422,26.570000000000000,-33.740000000000002
221,21,26.530000000000001,-33.750000000000000
222,27,26.539999999999999,-33.750000000000000
223,218,26.550000000000001,-33.750000000000000
224,333,26.520000000000000,-33.759999999999998
225,247,18.329999999999998,-33.770000000000003
226,633,25.670000000000002,-33.780000000000001
227,320,25.719999999999999,-33.780000000000001
228,246,18.359999999999999,-33.789999999999999
229,60,18.370000000000001,-33.789999999999999
230,229,18.460000000000001,-33.789999999999999
231,244,25.710000000000001,-33.789999999999999
232,82,25.789999999999999,-33.789999999999999
233,97,26.539999999999999,-33.789999999999999
234,492,18.359999999999999,-33.799999999999997
235,87,18.370000000000001,-33.799999999999997
236,94,18.379999999999999,-33.799999999999997
237,384,18.390000000000001,-33.799999999999997
238,211,18.460000000000001,-33.799999999999997
239,284,25.770000000000000,-33.799999999999997
240,590,18.359999999999999,-33.810000000000002
241,150,18.370000000000001,-33.810000000000002
242,250,18.379999999999999,-33.810000000000002
243,420,18.390000000000001,-33.810000000000002
244,648,25.699999999999999,-33.810000000000002
245,358,25.770000000000000,-33.810000000000002
246,249,18.370000000000001,-33.820000000000000
247,46,18.379999999999999,-33.820000000000000
248,544,18.390000000000001,-33.820000000000000
249,155,18.420000000000002,-33.820000000000000
250,562,18.430000000000000,-33.829999999999998
251,561,26.010000000000002,-33.829999999999998
252,571,26.280000000000001,-33.829999999999998
253,523,18.390000000000001,-33.840000000000003
254,273,18.410000000000000,-33.840000000000003
255,730,26.280000000000001,-33.840000000000003
256,34,26.289999999999999,-33.840000000000003
257,99,18.399999999999999,-33.850000000000001
258,252,18.410000000000000,-33.850000000000001
259,276,25.960000000000001,-33.850000000000001
260,574,26.280000000000001,-33.850000000000001
261,584,18.350000000000001,-33.859999999999999
262,731,18.359999999999999,-33.859999999999999
263,233,18.410000000000000,-33.859999999999999
264,13,18.370000000000001,-33.869999999999997
265,461,18.390000000000001,-33.869999999999997
266,40,18.460000000000001,-33.869999999999997
267,248,25.660000000000000,-33.869999999999997
268,240,26.039999999999999,-33.869999999999997
269,634,18.379999999999999,-33.880000000000003
270,37,18.399999999999999,-33.880000000000003
271,416,18.420000000000002,-33.880000000000003
272,442,18.430000000000000,-33.880000000000003
273,739,18.449999999999999,-33.880000000000003
274,675,18.620000000000001,-33.880000000000003
275,707,18.879999999999999,-33.880000000000003
276,712,19.120000000000001,-33.880000000000003
277,659,22.620000000000001,-33.880000000000003
278,669,23.620000000000001,-33.880000000000003
279,637,23.879999999999999,-33.880000000000003
280,662,25.120000000000001,-33.880000000000003
281,670,25.379999999999999,-33.880000000000003
282,632,25.620000000000001,-33.880000000000003
283,191,25.699999999999999,-33.880000000000003
284,513,18.350000000000001,-33.890000000000001
285,393,18.379999999999999,-33.890000000000001
286,406,18.430000000000000,-33.890000000000001
287,717,18.440000000000001,-33.890000000000001
288,306,18.489999999999998,-33.890000000000001
289,267,18.399999999999999,-33.899999999999999
290,30,18.410000000000000,-33.899999999999999
291,263,18.430000000000000,-33.899999999999999
292,740,18.480000000000000,-33.899999999999999
293,266,26.000000000000000,-33.899999999999999
294,559,18.100000000000001,-33.909999999999997
295,293,18.420000000000002,-33.909999999999997
296,239,18.430000000000000,-33.909999999999997
297,563,18.449999999999999,-33.909999999999997
298,484,18.390000000000001,-33.920000000000002
299,352,18.420000000000002,-33.920000000000002
300,171,18.440000000000001,-33.920000000000002
301,432,18.379999999999999,-33.930000000000000
302,428,18.390000000000001,-33.930000000000000
303,436,18.410000000000000,-33.930000000000000
304,102,18.430000000000000,-33.939999999999998
305,423,25.629999999999999,-33.939999999999998
306,33,25.719999999999999,-33.939999999999998
307,303,18.379999999999999,-33.950000000000003
308,604,18.390000000000001,-33.950000000000003
309,188,18.420000000000002,-33.950000000000003
310,621,18.570000000000000,-33.950000000000003
311,351,26.100000000000001,-33.950000000000003
312,42,18.370000000000001,-33.960000000000001
313,308,18.410000000000000,-33.960000000000001
314,449,18.430000000000000,-33.960000000000001
315,490,23.539999999999999,-33.960000000000001
316,483,25.289999999999999,-33.960000000000001
317,226,25.620000000000001,-33.960000000000001
318,295,25.640000000000001,-33.960000000000001
319,441,25.710000000000001,-33.960000000000001
320,487,18.370000000000001,-33.969999999999999
321,258,18.440000000000001,-33.969999999999999
322,546,23.480000000000000,-33.969999999999999
323,238,25.649999999999999,-33.969999999999999
324,371,18.359999999999999,-33.979999999999997
325,5,18.370000000000001,-33.979999999999997
326,714,18.399999999999999,-33.979999999999997
327,235,25.649999999999999,-33.979999999999997
328,552,25.660000000000000,-33.979999999999997
329,573,25.670000000000002,-33.979999999999997
330,209,25.699999999999999,-33.979999999999997
