FID,Field1,lon,lat
89,2011,-67.239999999999995,-55.939999999999998
90,2198,-67.250000000000000,-55.909999999999997
91,2565,-67.260000000000005,-55.990000000000002
92,2008,-67.260000000000005,-54.939999999999998
93,1989,-67.260000000000005,-54.930000000000000
94,2167,-67.269999999999996,-55.950000000000003
95,3194,-67.280000000000001,-55.969999999999999
96,2790,-67.290000000000006,-56.070000000000000
97,2537,-67.290000000000006,-55.579999999999998
98,2969,-67.290000000000006,-54.909999999999997
99,2003,-67.310000000000002,-54.930000000000000
100,30,-67.310000000000002,-54.909999999999997
101,962,-67.319999999999993,-54.960000000000001
102,1954,-67.329999999999998,-54.880000000000003
103,2561,-67.329999999999998,-54.869999999999997
104,1198,-67.340000000000003,-54.890000000000001
105,961,-67.349999999999994,-54.979999999999997
106,1199,-67.349999999999994,-54.939999999999998
107,2081,-67.349999999999994,-54.920000000000002
108,2047,-67.349999999999994,-54.909999999999997
109,3174,-67.349999999999994,-54.890000000000001
110,2,-67.359999999999999,-54.909999999999997
111,2007,-67.370000000000005,-55.789999999999999
112,3157,-67.370000000000005,-54.920000000000002
113,4,-67.370000000000005,-54.909999999999997
114,6,-67.370000000000005,-54.899999999999999
115,2577,-67.370000000000005,-54.880000000000003
116,2927,-67.379999999999995,-54.920000000000002
117,1,-67.379999999999995,-54.909999999999997
118,1146,-67.379999999999995,-54.899999999999999
119,191,-67.390000000000001,-54.909999999999997
120,3236,-67.390000000000001,-54.899999999999999
121,2165,-67.400000000000006,-54.920000000000002
122,284,-67.400000000000006,-54.909999999999997
123,283,-67.400000000000006,-54.899999999999999
124,1498,-67.409999999999997,-54.930000000000000
125,2004,-67.420000000000002,-54.920000000000002
126,3241,-67.420000000000002,-54.880000000000003
127,3240,-67.420000000000002,-54.869999999999997
128,2444,-67.430000000000007,-54.920000000000002
129,2769,-67.430000000000007,-54.909999999999997
130,1499,-67.430000000000007,-54.880000000000003
131,3295,-67.450000000000003,-54.920000000000002
132,1965,-67.469999999999999,-54.920000000000002
133,193,-67.480000000000004,-54.939999999999998
134,2228,-67.480000000000004,-54.850000000000001
135,2488,-67.489999999999995,-55.990000000000002
136,1972,-67.500000000000000,-54.920000000000002
137,2005,-67.519999999999996,-54.920000000000002
138,3296,-67.530000000000001,-54.920000000000002
139,2010,-67.540000000000006,-55.759999999999998
140,285,-67.540000000000006,-54.909999999999997
141,2410,-67.549999999999997,-54.909999999999997
142,567,-67.549999999999997,-54.850000000000001
143,2408,-67.560000000000002,-54.909999999999997
144,566,-67.560000000000002,-54.869999999999997
145,3016,-67.569999999999993,-54.899999999999999
146,2127,-67.569999999999993,-54.869999999999997
147,3004,-67.579999999999998,-54.920000000000002
148,3202,-67.579999999999998,-54.899999999999999
149,3036,-67.590000000000003,-54.930000000000000
150,199,-67.599999999999994,-54.930000000000000
151,90,-67.609999999999999,-54.930000000000000
152,3063,-67.609999999999999,-54.920000000000002
153,312,-67.609999999999999,-54.810000000000002
154,2012,-67.629999999999995,-55.740000000000002
155,3195,-67.640000000000001,-54.899999999999999
156,2482,-67.650000000000006,-54.899999999999999
157,2792,-67.670000000000002,-54.890000000000001
158,2148,-67.680000000000007,-54.909999999999997
159,2105,-67.700000000000003,-55.680000000000000
160,2501,-67.709999999999994,-54.909999999999997
161,2193,-67.709999999999994,-54.890000000000001
162,1976,-67.719999999999999,-54.930000000000000
163,2789,-67.719999999999999,-54.920000000000002
164,2069,-67.719999999999999,-54.899999999999999
165,2801,-67.739999999999995,-56.180000000000000
166,200,-67.739999999999995,-54.820000000000000
167,2490,-67.750000000000000,-54.890000000000001
168,1959,-67.760000000000005,-54.899999999999999
169,192,-67.760000000000005,-54.850000000000001
170,3203,-67.780000000000001,-54.890000000000001
171,2937,-67.790000000000006,-55.409999999999997
172,2102,-67.790000000000006,-54.890000000000001
173,2015,-67.819999999999993,-54.899999999999999
174,215,-67.829999999999998,-54.890000000000001
175,1962,-67.859999999999999,-54.890000000000001
176,3032,-67.859999999999999,-54.880000000000003
177,2883,-67.879999999999995,-54.890000000000001
178,2788,-67.879999999999995,-54.880000000000003
179,2926,-67.890000000000001,-54.880000000000003
180,2884,-67.900000000000006,-54.880000000000003
181,2598,-67.909999999999997,-54.880000000000003
182,2841,-67.909999999999997,-54.859999999999999
183,2603,-67.920000000000002,-55.439999999999998
184,2146,-67.930000000000007,-54.880000000000003
185,2836,-67.930000000000007,-54.859999999999999
186,3031,-67.939999999999998,-54.880000000000003
187,1213,-67.939999999999998,-54.780000000000001
188,2578,-67.950000000000003,-54.880000000000003
189,1506,-67.950000000000003,-54.869999999999997
190,2013,-67.969999999999999,-55.390000000000001
191,2409,-67.980000000000004,-54.869999999999997
192,2009,-67.989999999999995,-55.329999999999998
193,2783,-68.010000000000005,-54.869999999999997
194,1534,-68.010000000000005,-54.859999999999999
195,2558,-68.040000000000006,-54.869999999999997
196,600,-68.049999999999997,-54.899999999999999
197,3033,-68.049999999999997,-54.869999999999997
198,3273,-68.060000000000002,-54.859999999999999
199,2106,-68.069999999999993,-55.729999999999997
200,2494,-68.079999999999998,-55.189999999999998
201,1229,-68.079999999999998,-54.869999999999997
202,2495,-68.079999999999998,-54.859999999999999
203,2016,-68.090000000000003,-54.890000000000001
204,2552,-68.099999999999994,-54.869999999999997
205,2994,-68.140000000000001,-54.840000000000003
206,2538,-68.150000000000006,-55.049999999999997
207,3026,-68.150000000000006,-54.859999999999999
208,3297,-68.150000000000006,-54.840000000000003
209,2551,-68.159999999999997,-54.840000000000003
210,3178,-68.170000000000002,-54.869999999999997
211,3053,-68.170000000000002,-54.859999999999999
212,3256,-68.170000000000002,-54.850000000000001
213,1507,-68.170000000000002,-54.820000000000000
214,2055,-68.180000000000007,-54.859999999999999
215,3029,-68.180000000000007,-54.850000000000001
216,2407,-68.189999999999998,-54.850000000000001
217,3025,-68.189999999999998,-54.820000000000000
218,2556,-68.219999999999999,-54.859999999999999
219,3030,-68.219999999999999,-54.850000000000001
220,960,-68.219999999999999,-54.840000000000003
221,1740,-68.219999999999999,-54.810000000000002
222,3019,-68.219999999999999,-54.799999999999997
223,2014,-68.230000000000004,-55.240000000000002
224,2963,-68.230000000000004,-54.890000000000001
225,2072,-68.230000000000004,-54.850000000000001
226,2584,-68.230000000000004,-54.820000000000000
227,3027,-68.230000000000004,-54.799999999999997
228,2489,-68.230000000000004,-54.789999999999999
229,2982,-68.239999999999995,-54.880000000000003
230,2186,-68.239999999999995,-54.869999999999997
231,1964,-68.239999999999995,-54.820000000000000
232,3054,-68.239999999999995,-54.750000000000000
233,3336,-68.250000000000000,-54.840000000000003
234,2958,-68.250000000000000,-54.820000000000000
235,2591,-68.260000000000005,-54.829999999999998
236,2484,-68.260000000000005,-54.820000000000000
237,573,-68.260000000000005,-54.689999999999998
238,218,-68.269999999999996,-54.859999999999999
239,2154,-68.269999999999996,-54.829999999999998
240,2257,-68.269999999999996,-54.820000000000000
241,2262,-68.280000000000001,-54.820000000000000
242,2025,-68.280000000000001,-54.810000000000002
243,3335,-68.280000000000001,-54.799999999999997
244,2828,-68.290000000000006,-54.939999999999998
245,1370,-68.299999999999997,-54.810000000000002
246,3253,-68.299999999999997,-54.799999999999997
247,2040,-68.299999999999997,-54.609999999999999
248,2017,-68.310000000000002,-55.000000000000000
249,2242,-68.310000000000002,-54.909999999999997
250,2107,-68.310000000000002,-54.810000000000002
251,2223,-68.319999999999993,-54.930000000000000
252,3183,-68.319999999999993,-54.840000000000003
253,2554,-68.319999999999993,-54.829999999999998
254,2513,-68.319999999999993,-54.820000000000000
255,2533,-68.319999999999993,-54.810000000000002
256,521,-68.329999999999998,-54.990000000000002
257,1749,-68.349999999999994,-54.950000000000003
