FID,Field1,lon,lat,Island
1,2,-90.560000000000002,-0.390000000000000,0.000000000000000
2,3,-90.659999999999997,-0.250000000000000,0.000000000000000
3,4,-90.430000000000007,-1.230000000000000,0.000000000000000
4,5,-90.790000000000006,-0.400000000000000,0.000000000000000
7,8,-90.560000000000002,-0.330000000000000,0.000000000000000
8,9,-90.459999999999994,-0.270000000000000,0.000000000000000
20,21,-90.409999999999997,-1.260000000000000,0.000000000000000
28,29,-90.549999999999997,-0.320000000000000,0.000000000000000
29,30,-90.319999999999993,-1.340000000000000,0.000000000000000
31,32,-90.489999999999995,-0.290000000000000,0.000000000000000
34,35,-90.500000000000000,-0.230000000000000,0.000000000000000
35,36,-90.519999999999996,-0.290000000000000,0.000000000000000
36,37,-90.569999999999993,-0.390000000000000,0.000000000000000
40,41,-90.430000000000007,-0.320000000000000,0.000000000000000
41,42,-90.489999999999995,-0.370000000000000,0.000000000000000
43,44,-90.670000000000002,-0.210000000000000,0.000000000000000
48,49,-90.409999999999997,-0.330000000000000,0.000000000000000
49,50,-90.459999999999994,-0.250000000000000,0.000000000000000
51,52,-90.290000000000006,-0.080000000000000,0.000000000000000
52,53,-90.480000000000004,-0.330000000000000,0.000000000000000
55,56,-90.590000000000003,-0.280000000000000,0.000000000000000
60,61,-90.239999999999995,-0.800000000000000,0.000000000000000
64,65,-90.219999999999999,-0.280000000000000,0.000000000000000
65,66,-90.480000000000004,-0.290000000000000,0.000000000000000
68,69,-90.420000000000002,-0.380000000000000,0.000000000000000
69,70,-90.459999999999994,-0.210000000000000,0.000000000000000
75,76,-90.439999999999998,-0.250000000000000,0.000000000000000
76,77,-90.709999999999994,-0.250000000000000,0.000000000000000
77,78,-90.599999999999994,-1.310000000000000,0.000000000000000
78,79,-90.530000000000001,-1.340000000000000,0.000000000000000
79,80,-90.420000000000002,-1.320000000000000,0.000000000000000
80,81,-90.549999999999997,-1.250000000000000,0.000000000000000
81,82,-90.489999999999995,-0.270000000000000,0.000000000000000
88,89,-90.420000000000002,-0.270000000000000,0.000000000000000
92,93,-90.439999999999998,-0.330000000000000,0.000000000000000
94,95,-90.400000000000006,-0.700000000000000,0.000000000000000
95,96,-90.269999999999996,-0.610000000000000,0.000000000000000
96,97,-90.680000000000007,-0.240000000000000,0.000000000000000
97,98,-90.480000000000004,-0.220000000000000,0.000000000000000
104,105,-90.510000000000005,-0.300000000000000,0.000000000000000
106,107,-90.590000000000003,-1.300000000000000,0.000000000000000
107,108,-90.430000000000007,-1.290000000000000,0.000000000000000
120,121,-90.569999999999993,-0.290000000000000,0.000000000000000
121,122,-90.579999999999998,-0.370000000000000,0.000000000000000
125,126,-90.549999999999997,-0.280000000000000,0.000000000000000
136,137,-90.510000000000005,-0.230000000000000,0.000000000000000
137,138,-90.480000000000004,-0.230000000000000,0.000000000000000
141,142,-90.290000000000006,-0.600000000000000,0.000000000000000
146,147,-90.590000000000003,-0.370000000000000,0.000000000000000
165,166,-89.730000000000004,-0.870000000000000,0.000000000000000
167,168,-90.319999999999993,-0.380000000000000,0.000000000000000
168,169,-90.450000000000003,-1.240000000000000,0.000000000000000
169,170,-90.329999999999998,-0.500000000000000,0.000000000000000
174,175,-90.790000000000006,-0.330000000000000,0.000000000000000
176,177,-90.569999999999993,-0.280000000000000,0.000000000000000
178,179,-90.489999999999995,-0.350000000000000,0.000000000000000
179,180,-90.400000000000006,-0.250000000000000,0.000000000000000
180,181,-90.540000000000006,-0.370000000000000,0.000000000000000
193,194,-90.709999999999994,-0.260000000000000,0.000000000000000
208,209,-90.450000000000003,-1.230000000000000,0.000000000000000
209,210,-90.709999999999994,-0.400000000000000,0.000000000000000
210,211,-90.859999999999999,-0.240000000000000,0.000000000000000
212,213,-90.430000000000007,-0.300000000000000,0.000000000000000
215,216,-90.430000000000007,-1.300000000000000,0.000000000000000
217,218,-90.560000000000002,-0.290000000000000,0.000000000000000
219,220,-90.439999999999998,-1.230000000000000,0.000000000000000
221,222,-89.609999999999999,-0.890000000000000,0.000000000000000
224,225,-90.489999999999995,-0.530000000000000,0.000000000000000
225,226,-90.629999999999995,-0.880000000000000,0.000000000000000
227,228,-90.430000000000007,-1.220000000000000,0.000000000000000
228,229,-90.290000000000006,-0.400000000000000,0.000000000000000
229,230,-90.310000000000002,-0.750000000000000,0.000000000000000
230,231,-90.489999999999995,-0.260000000000000,0.000000000000000
232,233,-90.560000000000002,-0.380000000000000,0.000000000000000
233,234,-90.439999999999998,-0.400000000000000,0.000000000000000
234,235,-90.310000000000002,-0.740000000000000,0.000000000000000
236,237,-90.540000000000006,-0.560000000000000,0.000000000000000
237,238,-90.640000000000001,-0.400000000000000,0.000000000000000
239,240,-90.849999999999994,-0.210000000000000,0.000000000000000
244,245,-90.409999999999997,-0.400000000000000,0.000000000000000
245,246,-90.409999999999997,-0.200000000000000,0.000000000000000
246,247,-90.489999999999995,-1.280000000000000,0.000000000000000
248,249,-90.500000000000000,-0.250000000000000,0.000000000000000
252,253,-90.239999999999995,-0.660000000000000,0.000000000000000
253,254,-90.219999999999999,-0.690000000000000,0.000000000000000
254,255,-90.560000000000002,-0.280000000000000,0.000000000000000
255,256,-90.549999999999997,-0.290000000000000,0.000000000000000
270,271,-90.340000000000003,-0.770000000000000,0.000000000000000
271,272,-90.290000000000006,-0.390000000000000,0.000000000000000
272,273,-90.430000000000007,-0.250000000000000,0.000000000000000
273,274,-90.430000000000007,-0.310000000000000,0.000000000000000
276,277,-90.670000000000002,-0.610000000000000,0.000000000000000
279,280,-90.540000000000006,-0.660000000000000,0.000000000000000
280,281,-90.719999999999999,-0.260000000000000,0.000000000000000
281,282,-90.829999999999998,-0.300000000000000,0.000000000000000
283,284,-90.560000000000002,-0.710000000000000,0.000000000000000
287,288,-90.530000000000001,-1.240000000000000,0.000000000000000
288,289,-90.569999999999993,-0.350000000000000,0.000000000000000
293,294,-90.420000000000002,-0.640000000000000,0.000000000000000
295,296,-90.299999999999997,-0.750000000000000,0.000000000000000
296,297,-90.310000000000002,-0.590000000000000,0.000000000000000
303,304,-90.480000000000004,-0.270000000000000,0.000000000000000
323,324,-90.280000000000001,-0.220000000000000,0.000000000000000
341,342,-90.280000000000001,-0.480000000000000,0.000000000000000
347,348,-90.370000000000005,-1.260000000000000,0.000000000000000
354,355,-90.540000000000006,-0.390000000000000,0.000000000000000
